Tipo;Percentual
Studio;0.0001730777551815153
Loft;0.00220674137856432
Casa de Vila;0.010774090260049328
Flat;0.02059625286660032
Quitinete;0.036173250832936696
Casa;0.041841547315131324
Casa de Condomínio;0.04309636104019731
Apartamento;0.8451386785513392
