Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Laranjeiras;2;0;0;110;2500.0;968.0;167.0
Flamengo;2;0;0;85;2700.0;800.0;1150.0
Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0
Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0
Copacabana;3;0;0;80;2500.0;800.0;157.0
Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0
Lagoa;2;1;1;80;2200.0;2600.0;420.0
Campo Grande;3;1;1;98;1800.0;950.0;319.0
Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;78.0
Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;836.6666666666667
Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;1093.3333333333335
Tijuca;3;1;0;88;2300.0;790.0;885.0
Tijuca;3;1;0;116;2000.0;790.0;194.0
Vila Isabel;3;0;0;82;1200.0;664.0;86.0
Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;290.5
Maracanã;2;0;0;79;1700.0;600.0;222.5
Botafogo;2;0;0;115;2200.0;1045.0;190.0
Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0
Bonsucesso;3;1;0;98;2800.0;390.0;337.6
Copacabana;2;1;0;74;2600.0;1021.0;649.0
Humaitá;2;1;0;75;2900.0;926.0;90.0
Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0
Laranjeiras;2;0;0;85;2100.0;700.0;95.0
Barra da Tijuca;2;1;1;88;2400.0;1313.0;401.33333333333337
Vargem Pequena;2;1;1;80;1100.0;650.0;643.6666666666667
Copacabana;2;0;0;110;2800.0;800.0;120.0
Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0
Grajaú;3;2;1;90;2950.0;700.0;100.0
Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0
Lagoa;2;1;1;90;2700.0;1350.0;250.0
Piedade;2;1;0;83;950.0;2975.0;13.0
Humaitá;3;1;0;95;2300.0;1300.0;120.0
Barra da Tijuca;2;1;0;90;2000.0;980.0;1600.0
Recreio dos Bandeirantes;2;1;1;75;2300.0;1220.0;134.0
Lagoa;2;1;0;77;2700.0;1050.0;302.0
Barra da Tijuca;3;1;3;80;2800.0;1300.0;630.5
Recreio dos Bandeirantes;4;2;2;160;1900.0;830.0;7100.0
Tijuca;3;1;1;106;2050.0;872.0;1008.0
Vila Isabel;2;1;1;79;1300.0;950.0;30.0
Jardim Guanabara;2;0;0;92;1600.0;1214.0;99.0
Barra da Tijuca;2;1;1;102;2500.0;1478.0;255.0
Quintino Bocaiúva;2;0;0;80;900.0;170.0;152.5
Freguesia (Jacarepaguá);3;1;1;77;2000.0;580.0;80.0
Recreio dos Bandeirantes;3;2;1;185;2500.0;1355.0;2917.0
Recreio dos Bandeirantes;3;3;1;180;1300.0;1635.0;320.0
Barra da Tijuca;3;2;3;120;2800.0;1280.0;360.0
Tijuca;2;1;1;81;2350.0;849.0;80.0
São Francisco Xavier;3;1;0;90;1900.0;210.0;160.0
Tijuca;3;0;0;98;1700.0;390.0;93.0
Vila Valqueire;3;2;1;129;2200.0;755.0;195.0
Tijuca;2;1;0;88;1100.0;693.0;32.0
Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0
Tijuca;2;0;1;80;1300.0;460.0;82.0
Barra da Tijuca;2;1;0;74;2100.0;750.0;250.0
Barra da Tijuca;2;1;1;87;2300.0;1482.0;251.0
Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0
Humaitá;2;1;0;72;2900.0;815.0;96.0
Tijuca;2;1;0;72;1500.0;734.0;3542.5
Praia da Bandeira;2;1;0;90;1400.0;480.0;85.0
Tijuca;3;0;0;86;1500.0;690.0;83.0
Grajaú;2;0;0;72;2000.0;2450.0;758.0
Barra da Tijuca;2;2;1;75;1400.0;800.0;100.0
Tijuca;3;2;1;150;2000.0;1700.0;210.0
Vila Isabel;3;1;0;95;1250.0;650.0;60.0
Recreio dos Bandeirantes;3;1;1;82;2000.0;989.0;1313.0
Tijuca;2;1;1;85;1600.0;960.0;90.0
Méier;2;1;0;77;1000.0;925.0;141.75
Maracanã;2;1;1;85;2500.0;492.0;167.33333333333334
Laranjeiras;2;1;0;79;2300.0;780.0;118.0
Vila Isabel;2;0;0;80;1700.0;450.0;60.0
Vila Isabel;2;2;1;91;2000.0;600.0;145.0
Camorim;3;1;1;75;2100.0;680.0;498.5
Vila Isabel;3;1;2;79;2200.0;622.0;122.0
Tijuca;3;2;1;109;2500.0;742.0;105.0
Jacarepaguá;3;1;1;78;2000.0;1200.0;110.0
Recreio dos Bandeirantes;2;2;1;110;2300.0;648.0;156.0
Freguesia (Jacarepaguá);3;1;1;81;1800.0;750.0;110.0
Barra da Tijuca;2;1;1;90;2200.0;1392.0;289.0
Barra da Tijuca;3;2;3;102;2700.0;1523.0;2944.0
Recreio dos Bandeirantes;2;2;1;84;1600.0;510.0;185.0
Jacarepaguá;2;1;1;80;1900.0;1300.0;100.0
Barra da Tijuca;4;2;1;115;2800.0;1800.0;250.0
Recreio dos Bandeirantes;3;2;1;80;2000.0;750.0;370.0
Recreio dos Bandeirantes;2;1;1;72;1500.0;650.0;131.0
Recreio dos Bandeirantes;3;2;3;180;1700.0;1080.0;390.0
Recreio dos Bandeirantes;2;2;1;83;1900.0;768.0;140.0
Tijuca;2;1;1;80;1500.0;500.0;30.0
Tijuca;3;1;2;100;2500.0;1300.0;283.0
Recreio dos Bandeirantes;4;2;1;200;2950.0;1000.0;350.0
Recreio dos Bandeirantes;3;2;1;120;2700.0;790.0;200.0
Tijuca;2;1;1;97;2500.0;660.0;405.6666666666667
Méier;3;1;0;100;1000.0;600.0;100.0
Barra da Tijuca;3;2;1;110;2000.0;1768.0;277.0
Tijuca;3;0;0;80;1600.0;350.0;220.0
Vila da Penha;2;0;0;75;1300.0;1586.5;252.0
Tijuca;2;1;1;84;2750.0;690.0;182.0
Anil;2;0;0;74;1200.0;995.0;366.0
Tijuca;3;2;1;120;2800.0;1600.0;170.0
Tijuca;3;1;0;81;1750.0;597.0;94.0
Vila Isabel;2;0;0;82;1700.0;350.0;42.5
Tijuca;3;0;0;80;1600.0;660.0;98.0
Freguesia (Jacarepaguá);2;2;1;145;2200.0;1036.0;2581.0
Recreio dos Bandeirantes;2;1;1;110;1200.0;799.0;158.0
Barra da Tijuca;2;1;1;77;2200.0;1236.0;141.0
Recreio dos Bandeirantes;3;2;2;148;2500.0;780.0;230.0
Centro;2;0;0;75;1500.0;935.0;73.0
Botafogo;2;1;0;90;2500.0;654.0;95.0
Barra da Tijuca;2;1;1;104;2000.0;1750.0;376.0
Tijuca;3;1;1;82;1800.0;1100.0;112.0
Recreio dos Bandeirantes;3;1;2;75;1500.0;1095.0;153.0
Andaraí;2;1;1;80;1500.0;745.0;89.0
Recreio dos Bandeirantes;2;2;1;83;1500.0;740.0;186.0
Tijuca;3;0;3;110;2800.0;250.0;235.0
Maracanã;2;1;1;85;1999.0;980.0;90.0
Vila Valqueire;2;1;1;96;1200.0;315.0;135.0
Recreio dos Bandeirantes;2;1;1;78;1800.0;900.0;180.0
Barra da Tijuca;3;2;1;172;2300.0;1600.0;450.0
Tijuca;3;2;1;85;2350.0;900.0;96.0
Recreio dos Bandeirantes;2;2;2;85;2500.0;1068.0;124.0
Tijuca;3;1;1;126;1800.0;1109.0;162.0
Recreio dos Bandeirantes;3;1;1;82;2200.0;740.0;138.0
Recreio dos Bandeirantes;3;2;1;78;1650.0;500.0;342.5
Taquara;2;1;0;75;700.0;622.0;465.0
Barra da Tijuca;2;1;1;86;2200.0;1050.0;1271.5
Barra da Tijuca;2;1;1;86;2900.0;1307.0;215.0
Recreio dos Bandeirantes;3;2;1;145;2500.0;676.0;306.0
Tijuca;3;2;1;102;2600.0;798.0;89.0
Barra da Tijuca;3;1;1;90;2850.0;850.0;130.0
Centro;3;1;0;95;2000.0;867.0;72.0
Recreio dos Bandeirantes;2;1;1;72;2790.0;650.0;129.0
Tijuca;3;1;0;125;2500.0;1100.0;200.0
Rio Comprido;2;1;0;73;1490.0;491.0;14.0
Tijuca;3;1;0;98;2200.0;630.0;258.0
Vila Isabel;2;0;0;86;2000.0;468.0;19.0
Taquara;4;1;1;110;1900.0;842.0;17.0
Barra da Tijuca;2;2;1;93;2700.0;1304.0;179.0
Tijuca;2;0;0;81;1800.0;665.0;86.0
Recreio dos Bandeirantes;3;2;1;109;2500.0;842.0;192.0
Barra da Tijuca;2;1;1;78;2500.0;1300.0;300.0
Glória;2;2;0;78;2470.0;738.0;121.0
Jardim Guanabara;3;2;1;127;2500.0;620.0;293.0
Vila da Penha;2;1;0;87;1300.0;500.0;140.0
Tijuca;2;0;0;90;1400.0;600.0;35.0
Recreio dos Bandeirantes;2;1;1;87;2000.0;600.0;176.0
Lagoa;2;1;1;85;2200.0;1225.0;278.0
Copacabana;4;0;0;103;2800.0;953.0;240.0
Tijuca;2;0;0;75;1700.0;280.0;182.5
Tijuca;2;0;0;89;1400.0;60.0;59.2
Recreio dos Bandeirantes;2;1;1;105;2300.0;648.0;156.0
Pechincha;2;1;0;80;1000.0;500.0;143.0
Recreio dos Bandeirantes;3;2;1;84;2150.0;711.0;19.0
Barra da Tijuca;3;2;1;112;2200.0;1752.0;256.0
Tijuca;2;1;0;73;1700.0;500.0;342.5
Barra da Tijuca;2;1;1;71;1500.0;720.0;730.5
Barra da Tijuca;4;2;1;121;2800.0;1190.0;209.0
Recreio dos Bandeirantes;3;1;1;83;2000.0;790.0;1655.0
São Conrado;2;1;1;110;2900.0;1396.0;210.0
Barra da Tijuca;2;1;1;80;2500.0;1310.0;194.33333333333334
Pechincha;3;1;1;85;1300.0;765.0;212.66666666666666
Copacabana;2;0;0;71;2400.0;605.0;57.5
Tijuca;2;1;0;90;1700.0;470.0;91.0
Recreio dos Bandeirantes;3;2;1;220;2500.0;1000.0;500.0
Recreio dos Bandeirantes;3;2;1;211;2500.0;1305.0;592.75
Copacabana;2;0;0;81;2500.0;800.0;90.0
Pilares;3;2;1;82;2200.0;630.0;70.0
Leme;2;0;0;75;2500.0;760.0;177.0
Barra da Tijuca;2;2;1;90;2800.0;1300.0;400.0
Bonsucesso;3;0;0;90;950.0;662.5;28.0
Recreio dos Bandeirantes;2;2;1;99;1700.0;618.0;1075.0
Jardim Botânico;2;1;2;79;2800.0;1727.0;193.0
Pechincha;2;1;1;78;1200.0;650.0;120.0
Andaraí;3;2;1;103;1600.0;700.0;160.0
Campo Grande;2;0;0;74;750.0;2775.0;335.0
Barra da Tijuca;3;1;1;103;2600.0;1350.0;230.0
Vila Isabel;2;1;0;135;2300.0;570.0;100.0
Recreio dos Bandeirantes;2;1;1;79;1900.0;884.0;1445.0
Barra da Tijuca;3;1;3;80;2800.0;1300.0;140.0
Copacabana;2;0;0;72;2250.0;850.0;72.0
Vila da Penha;2;1;0;72;1250.0;220.0;217.0
Tijuca;4;1;1;190;2800.0;900.0;180.0
Riachuelo;2;1;1;84;800.0;450.0;564.6666666666666
Barra da Tijuca;3;1;1;86;2000.0;759.0;240.0
Vila Isabel;2;0;0;92;1500.0;300.0;88.0
Engenho de Dentro;3;1;1;146;2400.0;1132.5;128.0
Barra da Tijuca;2;1;1;96;2500.0;1603.0;235.0
Bonsucesso;3;1;0;87;1000.0;755.0;29.0
Laranjeiras;2;0;0;90;2200.0;650.0;119.0
Vila Isabel;2;1;0;83;1100.0;600.0;98.0
Recreio dos Bandeirantes;2;0;0;73;1250.0;788.0;217.66666666666669
Botafogo;3;1;0;110;2500.0;1300.0;115.33333333333334
Copacabana;3;0;0;120;2300.0;1900.0;2362.0
Vila da Penha;2;0;1;100;1400.0;200.0;363.0
Recreio dos Bandeirantes;3;0;1;79;2500.0;796.0;2856.0
Barra da Tijuca;3;1;1;98;2400.0;1380.0;150.0
Botafogo;2;1;0;95;2500.0;870.0;8655.0
Barra da Tijuca;3;2;1;93;2500.0;1450.0;166.0
Recreio dos Bandeirantes;3;2;1;150;2300.0;600.0;350.0
Barra da Tijuca;2;1;1;74;1900.0;1300.0;142.0
Recreio dos Bandeirantes;2;1;1;121;2370.0;890.0;250.0
Santa Teresa;2;0;0;74;1600.0;1.0;1.0
Méier;3;1;0;85;1300.0;755.0;70.0
Pechincha;2;2;1;110;1800.0;600.0;132.0
Méier;2;1;0;85;1250.0;450.0;60.0
Botafogo;2;1;1;85;2700.0;1159.0;184.0
Andaraí;2;2;1;103;1600.0;600.0;108.0
Recreio dos Bandeirantes;2;2;1;114;2600.0;766.0;226.5
Andaraí;3;0;1;97;1650.0;263.0;100.0
Vila da Penha;3;1;1;90;2200.0;250.0;50.0
Pechincha;2;1;0;77;1400.0;599.0;38.0
Tijuca;3;1;1;140;1800.0;1147.0;863.6666666666666
Parque Anchieta;2;1;0;75;1000.0;1089.0;1529.3333333333333
Barra da Tijuca;3;1;0;80;1700.0;1031.0;2195.0
Tijuca;3;1;0;140;2300.0;680.0;114.0
Barra da Tijuca;2;1;1;95;2200.0;1334.0;257.0
Grajaú;2;2;1;90;2700.0;1713.0;260.0
Barra da Tijuca;2;1;1;80;2500.0;1224.0;212.0
Laranjeiras;2;1;0;80;2000.0;450.0;208.0
Barra da Tijuca;3;2;1;105;2300.0;1500.0;204.0
Recreio dos Bandeirantes;3;2;2;90;1950.0;715.0;154.0
Tijuca;3;1;0;80;1900.0;700.0;60.0
Recreio dos Bandeirantes;3;2;1;80;1900.0;650.0;137.0
Barra da Tijuca;2;1;1;73;2700.0;1185.0;207.0
Copacabana;3;1;0;81;2500.0;1000.0;1736.0
Recreio dos Bandeirantes;2;1;1;76;2200.0;812.0;193.0
Laranjeiras;3;1;1;150;2700.0;1570.0;180.0
Recreio dos Bandeirantes;3;0;1;85;2100.0;791.0;414.5
Engenho Novo;3;0;0;75;1300.0;605.0;49.0
Pechincha;3;0;0;78;1500.0;726.0;80.0
Recreio dos Bandeirantes;2;1;1;83;2000.0;1750.0;1651.5
Freguesia (Jacarepaguá);3;2;1;158;2500.0;1600.0;262.0
Copacabana;3;1;1;90;2800.0;1200.0;150.0
Recreio dos Bandeirantes;2;1;1;95;1650.0;630.0;142.0
Copacabana;2;0;0;90;2400.0;880.0;112.0
Bonsucesso;2;0;0;75;1000.0;475.0;986.0
Recreio dos Bandeirantes;2;1;1;80;1600.0;1180.0;150.0
Jardim Guanabara;3;2;1;125;2680.0;500.0;345.0
Recreio dos Bandeirantes;3;3;1;128;2800.0;914.0;236.0
Recreio dos Bandeirantes;3;1;1;90;1950.0;900.0;100.0
Tijuca;3;1;0;107;2300.0;400.0;453.3333333333333
Barra da Tijuca;2;1;2;82;2200.0;1200.0;776.6666666666666
Tijuca;2;0;0;76;1800.0;700.0;24.0
Engenho de Dentro;3;1;0;75;1000.0;650.0;248.0
Barra da Tijuca;3;2;2;83;2400.0;607.0;1400.0
Recreio dos Bandeirantes;3;1;1;76;2200.0;780.0;120.0
Cosme Velho;2;1;0;87;2500.0;797.0;2440.0
Tijuca;3;1;1;87;2300.0;559.0;100.0
Recreio dos Bandeirantes;3;1;1;130;2800.0;7366.0;157.0
Jacarepaguá;2;1;1;80;2000.0;1300.0;1080.0
Barra da Tijuca;4;2;1;115;2800.0;1890.0;250.0
Vila Valqueire;3;1;0;94;1450.0;300.0;653.0
Tijuca;4;1;0;160;2000.0;1032.0;1056.0
Barra da Tijuca;3;2;3;145;2900.0;1800.0;646.5
Recreio dos Bandeirantes;3;1;1;84;2000.0;810.0;577.0
Flamengo;2;0;0;75;2400.0;635.0;119.0
Copacabana;2;0;0;74;2000.0;900.0;132.0
Ramos;2;0;0;75;1200.0;250.0;169.0
Gávea;3;0;1;120;2700.0;880.0;238.0
Recreio dos Bandeirantes;2;1;1;82;1400.0;620.0;167.33333333333334
Tijuca;2;1;1;92;2900.0;907.0;187.0
Recreio dos Bandeirantes;2;1;1;90;1700.0;549.0;212.0
Copacabana;2;0;0;80;2400.0;995.0;180.0
Tijuca;3;2;1;135;2000.0;920.0;2400.0
Pechincha;3;2;1;113;1300.0;840.0;1255.0
Recreio dos Bandeirantes;3;1;1;91;1900.0;550.0;2969.0
Penha;2;0;0;117;1300.0;2850.0;110.0
Recreio dos Bandeirantes;3;3;1;120;2600.0;930.0;380.0
Recreio dos Bandeirantes;3;1;1;81;1900.0;1014.0;80.0
Pechincha;3;1;1;108;1350.0;900.0;114.0
Barra da Tijuca;3;2;1;98;2800.0;1520.0;110.0
Cachambi;3;1;0;77;1300.0;420.0;25.0
Vila Valqueire;3;3;1;130;2000.0;275.0;220.0
Centro;3;2;1;120;2500.0;1500.0;208.0
Catete;2;0;0;71;1900.0;566.0;129.0
Freguesia (Jacarepaguá);2;0;0;75;1300.0;200.0;125.0
Cascadura;2;0;0;96;1250.0;1168.5;77.0
Leme;2;0;0;75;2600.0;878.0;276.6666666666667
Tijuca;3;1;0;105;2200.0;684.0;132.0
Todos os Santos;3;1;1;78;1300.0;571.0;177.33333333333334
Barra da Tijuca;2;1;0;84;2200.0;900.0;2000.0
Tijuca;3;1;0;75;1900.0;510.0;149.5
Barra da Tijuca;3;2;1;90;2800.0;1517.0;359.0
Tijuca;2;0;0;80;1600.0;250.0;20.0
Copacabana;3;1;0;138;2800.0;1501.0;318.0
Recreio dos Bandeirantes;3;2;1;120;2200.0;550.0;174.0
Rocha;2;1;0;74;1250.0;630.0;38.0
Barra da Tijuca;2;1;1;75;2100.0;638.0;206.0
Barra da Tijuca;3;1;1;88;2300.0;803.0;147.0
Tijuca;3;2;0;74;2500.0;713.0;95.0
Freguesia (Jacarepaguá);3;1;1;100;2500.0;912.0;132.0
Barra da Tijuca;2;1;0;73;2500.0;980.0;199.0
Barra da Tijuca;2;1;1;74;1600.0;900.0;288.0
Barra da Tijuca;2;1;1;95;2000.0;1800.0;100.0
Tijuca;2;1;1;71;1400.0;600.0;442.0
Recreio dos Bandeirantes;3;3;1;300;2900.0;1000.0;784.0
Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;142.0
Tijuca;3;0;0;120;1800.0;616.0;118.0
Recreio dos Bandeirantes;2;1;1;79;1800.0;1171.0;133.0
Barra da Tijuca;2;1;1;72;1600.0;930.0;164.0
Todos os Santos;2;0;0;72;1200.0;490.0;14.0
Botafogo;2;1;1;85;2900.0;1400.0;70.0
Recreio dos Bandeirantes;3;2;1;87;2600.0;777.0;224.0
Recreio dos Bandeirantes;3;1;1;76;1800.0;850.0;150.0
Recreio dos Bandeirantes;3;2;1;91;1900.0;1200.0;170.0
Recreio dos Bandeirantes;3;2;1;124;2300.0;750.0;250.0
Barra da Tijuca;3;1;1;92;2500.0;1200.0;1732.0
Barra da Tijuca;2;1;0;78;2100.0;750.0;100.0
Barra da Tijuca;2;1;1;89;2200.0;1144.0;101.0
Recreio dos Bandeirantes;3;1;1;90;2000.0;800.0;257.0
Tijuca;2;0;0;80;1400.0;618.0;70.0
Glória;2;1;0;74;2200.0;725.0;125.0
Freguesia (Jacarepaguá);3;2;1;128;2800.0;1000.0;284.3333333333333
Vila da Penha;2;0;0;94;900.0;309.0;262.6666666666667
Barra da Tijuca;2;1;1;72;2300.0;1200.0;241.0
Barra da Tijuca;2;2;2;100;2800.0;1600.0;370.0
Leme;3;0;0;155;2800.0;1300.0;291.0
Barra da Tijuca;2;1;1;88;1900.0;1350.0;150.0
Ipanema;3;0;0;90;2600.0;1310.0;155.0
Jardim Guanabara;2;1;0;90;1700.0;400.0;1200.0
Recreio dos Bandeirantes;3;2;1;132;2500.0;673.0;639.5
Laranjeiras;3;0;0;111;2300.0;767.0;127.0
Recreio dos Bandeirantes;3;3;1;86;1500.0;916.0;180.0
Ipanema;2;0;0;75;2900.0;700.0;840.0
Tijuca;3;0;0;120;2400.0;686.0;78.0
Jardim Botânico;3;0;0;85;2500.0;790.0;110.0
Recreio dos Bandeirantes;2;1;1;85;1500.0;570.0;180.0
Recreio dos Bandeirantes;2;1;1;90;2200.0;1000.0;237.0
Tijuca;2;1;1;80;1800.0;1181.0;130.5
Recreio dos Bandeirantes;2;1;1;128;2800.0;770.0;289.0
Tijuca;3;1;0;115;2250.0;1000.0;175.0
Andaraí;2;0;0;75;1200.0;150.0;20.0
Leme;2;1;0;90;2500.0;800.0;244.0
Freguesia (Jacarepaguá);3;2;1;132;1800.0;1100.0;100.0
Recreio dos Bandeirantes;3;1;1;96;2200.0;715.0;153.0
Recreio dos Bandeirantes;3;2;1;88;2500.0;900.0;600.0
Recreio dos Bandeirantes;2;1;1;75;2200.0;676.0;131.0
Barra da Tijuca;3;1;2;97;2550.0;1306.0;256.0
Freguesia (Jacarepaguá);2;1;1;86;1600.0;790.0;280.5
Barra da Tijuca;2;1;1;90;2800.0;890.0;245.0
Barra da Tijuca;2;1;2;90;2000.0;1490.0;3510.0
Recreio dos Bandeirantes;3;2;3;91;2500.0;650.0;100.0
Copacabana;3;0;1;115;2900.0;950.0;102.0
Botafogo;3;0;0;157;2700.0;970.0;200.0
Tijuca;2;1;0;86;1100.0;534.0;170.5
Laranjeiras;2;1;0;75;2200.0;895.0;107.0
Flamengo;2;0;0;72;2250.0;671.0;132.0
Recreio dos Bandeirantes;3;2;1;108;2900.0;1635.0;414.6666666666667
Grajaú;2;1;1;71;1700.0;863.0;678.4
Barra da Tijuca;3;1;1;102;2500.0;1300.0;619.2
Engenho Novo;2;1;0;84;700.0;700.0;37.0
Tijuca;2;0;0;84;1300.0;550.0;91.0
Tijuca;4;1;2;190;2000.0;1247.0;353.0
Recreio dos Bandeirantes;3;2;1;100;2100.0;500.0;539.5
Vila Isabel;3;1;0;80;1300.0;720.0;70.0
Recreio dos Bandeirantes;2;1;2;75;1700.0;1020.0;170.0
Barra da Tijuca;2;2;1;78;2490.0;1100.0;160.0
Catete;2;0;0;71;2000.0;725.0;104.0
Andaraí;2;1;1;73;1750.0;715.0;102.0
Tijuca;3;0;0;75;1500.0;877.0;36.0
Tijuca;3;0;0;75;2200.0;750.0;68.0
Méier;2;0;1;87;1300.0;95.0;16.0
Barra da Tijuca;2;1;1;80;1750.0;1200.0;87.0
Vila Isabel;3;1;1;110;1800.0;835.0;99.0
Copacabana;2;0;0;82;1900.0;685.0;180.0
Copacabana;3;1;1;110;2600.0;1100.0;150.0
Recreio dos Bandeirantes;2;2;1;90;2000.0;595.0;170.0
Laranjeiras;2;0;0;80;2500.0;360.0;85.0
Recreio dos Bandeirantes;3;2;1;110;1700.0;644.0;213.0
Jardim Botânico;2;0;0;80;1900.0;800.0;138.0
Copacabana;2;0;0;80;2600.0;450.0;125.0
Freguesia (Jacarepaguá);2;1;1;92;1400.0;870.0;850.0
Rio Comprido;3;1;1;144;2499.0;100.0;125.0
Jardim Botânico;2;1;1;80;2900.0;1100.0;120.0
Tijuca;3;2;0;74;2500.0;785.0;93.0
Bonsucesso;3;0;0;110;1500.0;420.0;268.0
Tijuca;3;1;1;150;2500.0;1200.0;175.0
Recreio dos Bandeirantes;2;2;1;80;2000.0;478.0;380.0
Copacabana;2;2;1;80;2100.0;1227.0;192.0
Recreio dos Bandeirantes;3;2;1;170;2500.0;1017.0;280.0
