Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Campo Grande;1;0;1;70;600.0;1660.0;120.75
Freguesia (Jacarepaguá);1;1;0;41;750.0;357.0;16.0
Barra da Tijuca;1;1;1;42;1100.0;669.0;126.5
Vargem Pequena;1;1;1;70;1000.0;680.0;89.0
Catete;1;0;0;26;800.0;400.0;29.0
Freguesia (Jacarepaguá);1;1;0;32;900.0;263.0;15.0
Campo Grande;1;0;0;45;550.0;1018.0;179.5
Vila da Penha;1;0;0;25;600.0;1230.0;106.0
Campo Grande;1;0;0;35;500.0;912.5;209.0
Copacabana;1;0;0;31;1100.0;506.0;58.0
Madureira;1;0;0;45;550.0;198.0;177.5
Centro;1;0;0;15;800.0;305.0;20.0
Jacarepaguá;1;1;0;50;1100.0;480.0;14.0
Braz de Pina;1;1;0;45;720.0;80.0;260.6666666666667
Centro;1;0;0;30;1100.0;400.0;369.5
Riachuelo;1;1;0;45;900.0;557.0;16.0
Vaz Lobo;1;1;1;44;800.0;3987.5;408.0
Marechal Hermes;1;0;0;33;600.0;3.0;1065.0
Rocha Miranda;1;0;0;45;500.0;80.0;226.66666666666669
Sampaio;1;1;0;60;1000.0;400.0;90.0
Moneró;1;0;0;50;1100.0;360.0;49.0
Bonsucesso;1;0;0;35;850.0;720.5;10.0
Freguesia (Jacarepaguá);1;0;0;28;550.0;1580.0;455.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Tijuca;1;0;0;40;1100.0;450.0;24.0
Maracanã;1;0;0;50;1100.0;492.0;20.0
Freguesia (Ilha do Governador);1;0;0;40;800.0;150.0;653.3333333333334
Recreio dos Bandeirantes;1;0;0;50;900.0;100.0;62.0
Oswaldo Cruz;1;1;0;50;650.0;227.0;560.0
Jardim Sulacap;1;0;0;72;880.0;950.0;13.0
Santa Teresa;1;0;0;35;800.0;400.0;1182.3333333333333
Ilha do Governador;1;0;0;45;1000.0;355.0;20.0
Campo Grande;1;0;0;50;439.0;1066.5;289.0
Praça da Bandeira;1;0;0;30;800.0;355.0;25.0
Pechincha;1;0;0;60;1100.0;347.0;55.0
Cachambi;1;0;0;40;800.0;150.0;204.0
Glória;1;0;0;30;1100.0;361.0;24.0
Cachambi;1;1;0;45;700.0;210.0;384.5
Méier;1;0;0;40;1100.0;500.0;13.0
Penha;1;0;0;50;900.0;250.0;179.0
Andaraí;1;0;0;40;1000.0;340.0;190.0
Todos os Santos;1;1;1;48;1000.0;490.0;182.0
Engenho de Dentro;1;0;0;30;300.0;50.0;199.33333333333334
Jacarepaguá;1;0;0;30;550.0;18.0;8.0
Campo Grande;1;0;0;50;500.0;898.5;216.66666666666669
Copacabana;1;0;0;28;1100.0;450.0;54.0
Centro;1;0;0;30;800.0;400.0;611.5
Praça da Bandeira;1;0;0;39;900.0;437.0;443.0
Santa Teresa;1;0;0;49;660.0;235.0;14.0
Centro;1;0;0;25;1000.0;321.0;24.0
Rocha Miranda;1;1;0;35;699.0;99.0;143.75
Pechincha;1;1;0;46;800.0;585.0;393.5
Centro;1;0;0;20;1000.0;216.0;21.0
Realengo;1;0;0;60;700.0;1400.0;6500.0
Praça da Bandeira;1;0;0;35;1090.0;450.0;25.0
Ramos;1;0;0;45;600.0;240.0;420.5
Tijuca;1;0;0;33;1000.0;515.0;14.0
Campo Grande;1;1;0;40;500.0;182.0;188.66666666666666
Centro;1;0;0;55;950.0;433.0;47.0
Centro;1;0;0;34;800.0;424.0;25.0
Campo Grande;1;1;0;50;500.0;180.0;714.6666666666667
Honório Gurgel;1;0;0;80;750.0;1947.0;469.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Colégio;1;0;0;45;660.0;964.0;171.0
Cachambi;1;1;0;35;800.0;407.0;268.0
Freguesia (Jacarepaguá);1;1;0;55;900.0;395.0;88.0
Ilha do Governador;1;0;0;35;750.0;1419.0;60.0
Catete;1;0;1;34;1000.0;400.0;53.0
Lapa;1;0;0;30;1100.0;420.0;505.0
Centro;1;0;0;30;1000.0;394.0;20.0
Vila Isabel;1;0;0;36;1050.0;385.0;333.5
Freguesia (Jacarepaguá);1;0;0;28;500.0;472.0;43.0
Campo Grande;1;0;0;21;330.0;947.5;149.66666666666669
Olaria;1;1;0;60;860.0;555.0;80.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;466.57142857142856
Engenho Novo;1;1;0;62;650.0;612.0;465.0
Marechal Hermes;1;0;0;50;800.0;200.0;59.0
Riachuelo;1;0;0;35;850.0;448.5;19.5
Praça Seca;1;1;0;37;500.0;322.0;287.5
Andaraí;1;0;0;42;900.0;447.0;20.0
Centro;1;0;0;43;1000.0;400.0;18.0
Lins de Vasconcelos;1;1;1;98;800.0;913.0;82.0
Higienópolis;1;0;0;30;850.0;780.0;184.33333333333334
Méier;1;1;0;40;900.0;657.0;1606.0
Botafogo;1;0;0;19;980.0;481.0;29.0
Vila Isabel;1;0;0;50;1000.0;400.0;236.0
Centro;1;0;0;32;1000.0;450.0;30.0
Praça Seca;1;1;0;41;800.0;320.0;20.0
